Protein	FHT_Protien_Count	FHT_Protien_ProteinLists	Unique Peptide Count	Unique Sequence Count	Froze_Core_2015_N1_0_10_13	Froze_Core_2015_N1_10_20_21	Froze_Core_2015_N1_20_30_20	Froze_Core_2015_N1_30_40_25	Froze_Core_2015_N1_40_50_16	Froze_Core_2015_N2_0_30_8	Froze_Core_2015_N2_30_40_10	Froze_Core_2015_N2_40_50_1	Froze_Core_2015_N2_50_60_34	Froze_Core_2015_N3_0_10_27	Froze_Core_2015_N3_10_20_30	Froze_Core_2015_N3_20_30_32	Froze_Core_2015_N3_30_40_9	Froze_Core_2015_N3_40_50_6	Froze_Core_2015_N3_50_60_28	Froze_Core_2015_S1_0_10_18	Froze_Core_2015_S1_10_20_33	Froze_Core_2015_S1_20_30_19	Froze_Core_2015_S1_30_40_3	Froze_Core_2015_S1_40_50_17	Froze_Core_2015_S1_50_60_23	Froze_Core_2015_S2_0_10_7	Froze_Core_2015_S2_10_20_24	Froze_Core_2015_S2_20_30_31	Froze_Core_2015_S2_30_40_15	Froze_Core_2015_S2_40_50_29	Froze_Core_2015_S2_50_60_2	Froze_Core_2015_S3_0_10_22	Froze_Core_2015_S3_10_20_5	Froze_Core_2015_S3_20_30_14	Froze_Core_2015_S3_30_40_12	Froze_Core_2015_S3_40_50_26	Froze_Core_2015_S3_50_60_4
Contaminant_ALBU_BOVIN	1	Contaminant_ALBU_BOVIN	9	9		4	4		9	1	6	3						2				2		8					4		1			4	4		4
Contaminant_ALBU_HUMAN	2	"Contaminant_ALBU_BOVIN, Contaminant_ALBU_HUMAN"	6	5		2	1		5		5	1	1									1	1	4	2				2		1			2	2		2
Contaminant_CTRA_BOVIN	1	Contaminant_CTRA_BOVIN	3	3			1		3		3		1																1					1	1		
Contaminant_K1C10_HUMAN	1	Contaminant_K1C10_HUMAN	80	70	3	41	83	22	114	27	195	32	35	10	23	1	4	27	45	3	5	40	5	36	32			4	57	22	26	17	18	69	43	49	47
Contaminant_K1C9_HUMAN	2	"Contaminant_K1C10_HUMAN, Contaminant_K1C9_HUMAN"	82	65	3	35	79	16	88	25	82	22	21	7	19	2	7	30	15	4	1	31	12	28	30	5		3	48	13	14	14	15	51	50	25	43
Contaminant_K22E_HUMAN	2	"Contaminant_K22E_HUMAN, Contaminant_K2C1_HUMAN"	77	70	5	42	74	13	88	20	126	31	44	4	16		8	35	60	4	1	40	2	29	21	3	1	2	58	11	15	10	10	54	45	44	52
Contaminant_K2C1_HUMAN	2	"Contaminant_K22E_HUMAN, Contaminant_K2C1_HUMAN"	113	99	11	81	116	34	143	50	174	57	47	14	26	8	13	68	56	13	13	62	18	63	74	3		3	87	41	49	38	28	106	93	56	77
Contaminant_TRYP_BOVIN	1	Contaminant_TRYP_BOVIN	135	116	129	472	571	449	832	390	847	393	434	187	280	101	170	400	500	80	261	414	109	408	407	85	36	136	582	393	386	328	337	625	604	520	493
Contaminant_TRYP_PIG	2	"Contaminant_TRYP_BOVIN, Contaminant_TRYP_PIG"	23	22		7	14	8	22	3	29	5	7	6	15	2	3	6	9		1	5	1	7	6	3		2	12	7	17	6	5	18	10	13	6
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_1_0050	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_1_0050	1	1		1																1			1												
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_1_0098	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_1_0098	1	1		1	1	1				1			3			1		1	2		1					1				1			1		
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_109_0013	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_109_0013	1	1	1																																
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_11_0024	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_11_0024	1	1					1																												
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_11_0049	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_11_0049	1	1		1																															
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_111_0007	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_111_0007	1	1																										1							
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_111_0012	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_111_0012	1	1		1																															
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_118_0009	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_118_0009	1	1																	1																
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_118_0011	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_118_0011	1	1			1	1		1									1			1			1					1	1				1	1	
