Gene_id	N1_0_10_bin.4.79%.fa	N1_10_20_bin.3.84%.Delt.fa	N1_10_20_bin.4.77%.Bact.fa	N1_10_20_bin.6.65%.Bact.fa	N1_20_30_bin.3.62%.Bact.fa	N1_20_30_bin.4.83%.Delt.fa	N123_30_40_bin.1.87%.Delt.fa	N123_30_40_bin.2.17%.Bact.fa	N123_40_50_bin.10_90%.fa	N13_0_10_co_bin.1_58%_.fa	N1_30_40_bin.1.fa	N13_20_30_bin.13_Actino_72%.fa	N13_20_30_bin.7_Delt_87%.fa	N13_Depth10_20_bin.1.fa	N2_0_30_JGI.bin.1.arch.89%.fa	N23_Depth50_60_bin.1.86%.Bact.fa	N2_40_50_bin.6.90%.Arch.fa	N2_50_60_JGI.bin.1.bact.74%.fa	N3.0.10.OSU.bin.2.Gamma.94%.fa	N3.0.10.OSU.bin.7.BACT.75%.fa	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa	N3_0_10_OSU_JGI_contam_bin.7.bact.77.fa	N3_10_20_JGI_bin.1.bact.81%.fa	N3_30_40_JGI.bin.3.arch.87%.fa	N3_30_40_OSU_bin.14.fa	N3_30_40_OSU_bin.1.fa	N3_40_50_JGI_bin.3.fa	N3_40_50_JGI_bin.4.fa	N3_40_50_OSU_bin.3.fa	N3_40_50_OSU_bin.4.fa	N3_50_60_JGI_bin.1.arch.80%.fa	N3_50_60_JGI_contam_bin.9.bact.49.fa	N3.50.60.OSU.bin.1.bact.47%.fa	N3_50_60_OSU_plantDB.JGIDB.bin.1.47.bact.fa	S1_0_10_JGI_bin.10.bact.87%.fa	S1_0_10_JGI_bin.5.arch.83%.fa	S1_10_20_JGI_bin.4.DELT.90%.fa	S1_10_20_JGI_bin.6.bact.80%.fa	S1.20.30.JGI.bin.8.bact.70%.fa	S123_0_10_co_JGI_bin.13.bact.89%.fa	S123_0_10_co_JGI_bin.3.DELT.90%.fa	S123.20.30.JGI.bin.9.DELT.87%.fa	S123_40_50_bin.3.81%.fa	S123_50_60_co_JGI.bin.2.ACTINO.79%.fa	S123_50_60_co_JGI.bin.7.43%.fa	S123_50_60_co_JGI.bin.9.bact.83%.fa	S12_40_50_co_JGI_bin.2.bact.84%.fa	S12_40_50_co_JGI_bin.6.bact.45%.fa	S1_30_40_JGI_bin.6.bact.77%.fa	S1_50_60_JGI_bin.1.bact.60%.fa	S1_50_60_JGI_bin.2.arch.96%.fa	S1.50.60.OSU.bin.11.BETA.82%.fa	S1.50.60.OSU.bin.14.bact.61%.fa	S1.50.60.OSU.bin.3.arch.91%.fa	S1.50.60.OSU.bin.5.bact.76%.fa	S1.50.60.OSU.bin.7.GAMMA.90%.fa	S1_50_60_OSU_contam_removed.bin.15.BETA.85.fa	S1_50_60_OSU_contam_removed.bin.19.arch.91.fa	S1_50_60_OSU_contam_removed.bin.2.bact.77.fa	S1_50_60_OSU_contam_removed.bin.3.bact.59.fa	S1_50_60_OSU_contam_removed.bin.6.GAMMA.90.fa	S2.0.10.OSU.bin.13.GAMMA.92%.fa	S2.0.10.OSU.bin.18.bact.81%.fa	S2.0.10.OSU.bin.19.bact.90%.fa	S2.0.10.OSU.bin.21.bact.93%.fa	S2.0.10.OSU.bin.33.ACTINO.92%.fa	S2.0.10.OSU.bin.36.GAMMA.81%.fa	S2.0.10.OSU.bin.37.ALPHA.89%.fa	S2_0_10_OSU_JGI_cont_bin.15.bact.64.fa	S2_0_10_OSU_JGI_cont_bin.20.Actino.92.fa	S2_0_10_OSU_JGI_cont_bin.2.Gamma.92.fa	S2_0_10_OSU_JGI_cont_bin.37.Alpha.89.fa	S2_0_10_OSU_JGI_cont_bin.44.bact.93.fa	S2_0_10_OSU_JGI_cont_bin.6.bact.81.fa	S2_0_10_OSU_JGI_cont_bin.8.bact.90.fa	S2_10_20_OSU_bin.14.fa	S2_10_20_OSU_bin.16	S2_10_20_OSU_bin.17.fa	S2_10_20_OSU_bin.2_v2.fa	S2_10_20_OSU_bin.4.fa	S2_30_40_JGI.bin.3.bact.75%.fa	S23_30_40_co_JGI_bin.3.arch.93%.fa	S23_30_40_co_JGI_bin.5.bact.79%.fa	S2_40_50_JGI.bin.6.bact.82%.fa	S2_40_50_OSU_bin.10	S2_40_50_OSU_bin.14.fa	S2_40_50_OSU_bin.15.fa	S2_40_50_OSU_bin.17.fa	S2_40_50_OSU_bin.8.fa	S2_50_60_JGI.bin.2.bact.80%.fa	S2_50_60_JGI.bin.5.bact.55%.fa	S2_50_60_OSU_bin.13	S2_50_60_OSU_bin.17.fa.fa	S2_50_60_OSU_bin.20.fa	S2_50_60_OSU_bin.22.fa	S2_50_60_OSU_bin.28.fa	S2_50_60_OSU_bin.32_v2.fa	S3_10_20_JGI.bin.2.DELT.77%.fa	S3_30_40_JGI_bin.1.arch.99%.fa	S3_30_40_JGI_bin.2.bact.61%.fa	S3_40_50_JGI_bin.2.bact.76%.fa	S3_40_50_JGI_bin.3.arch.93%.fa
N1_0_10	3.885281415	3.863044264	8.530714207	4.825549333	1.160945723	7.732308507	1.269605523	2.954416469	1.731285569	6.074158781	0.433062307	0	3.419002091	0.472440899	0.411701209	1.615661145	0.511352263	1.50479661	0	0.006190776	0	0.005066508	3.848589386	0.480778005	0.596606841	0.377447528	0.461694646	0.579421598	0.387171719	1.326709592	0.378308981	0.965644259	0.967600778	0.977836	1.648162719	0.394063338	1.45985508	1.498620435	1.330681034	0.756121531	1.307640834	1.245368051	1.372556377	0.669275456	0.5811153	0.620377085	2.406605792	1.320168395	1.473813528	0.456701143	0.594095489	0	0.028603138	0.509760766	1.292514315	0.001868914	0.000978259	0.506329557	1.296660967	0.018630732	0.000890654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.097461066	0.001270277	0	0.003883836	0.006804013	1.453226278	0.492400311	1.619836999	3.991502868	0	0.59625642	0	0.002394545	0	1.544204404	0.376732085	0.638117163	0.002555155	0.429631098	0	0.021813725	0.04313102	0.999562119	0.560966076	0.478295855	0.56432428	0.529778582
N3_0_10	0	0	0	0	0	0	0	0.395143329	0	0	1.228536533	0	0	0.754364538	0.244270422	0	11.83633882	0	0	0	0	0	0	0.502909692	0	0	0	0	51.44406926	0	0.718442417	0	0	0	0	0.513686328	0	0	0	0.790286659	0	0	0	0	0	0	0	0.538831813	0	0	2.345714491	0	0	11.63517494	0	0.876499749	0	11.63517494	0	0	0.876499749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.995904878	0	0.226309361	0	0.441842086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_0_10	3.357917326	7.090850988	10.18387582	6.458995732	0.364475632	9.671433825	0.425860947	3.573000224	0.575825257	6.132486205	1.319642673	0.001225544	3.500518075	1.407948752	1.414303041	0.528235031	1.645529129	0.534342151	0	0.002533477	0	0.002059737	3.497459366	1.484478285	0.440196717	0.127332948	0.511412128	1.545848152	1.296177118	0.426834173	1.142242664	0.308600113	0.307477556	0.311586732	0.774857654	1.294189471	0.650799688	0.484223598	0.439486108	0.557272175	0.486710731	0.399449968	0.464403778	0.102842674	0.182271287	0.198836722	1.673351029	0.297920376	0.502709739	0.561499785	1.82369639	0.001781673	0.008048423	1.646677433	0.416473695	0	0.001781673	1.632444649	0.414202835	0.004773441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351035847	0.000926882	0.000679713	0.001735329	0.002770346	0.481576836	1.525559741	0.534100132	3.778345716	0	0.447241018	0.037466618	0.000751804	0.002317204	0.509424482	0.151715086	0.473420277	0.005190538	0.005545842	0.038609772	0.005185388	0.025365663	0.315263363	1.680719738	2.680299861	0.666021145	1.667321148
S2_0_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.06521098	0	0.802596636	0	0.802596636	0.359988197	0	0	0	0	0	0	53.65594571	0	0	0	0	0	0	0	0	0	0	1.304219534	0	0	0	0	0	0	0	0	0	0	2.041900266	0	0	11.90321629	0	1.428149897	0	11.90321629	0	0	1.428149897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.189436412	0	0.354086751	0	0.761286515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S3_0_10	4.456685936	7.837305771	7.739168253	3.901329165	1.250935912	9.998916134	1.529203848	3.704963427	1.485803846	5.416066345	0.150924982	0	5.801768561	0.178361766	0.120585796	1.477096635	0.198089039	1.285719404	0	0.004172205	0	0	5.584904599	0.139088618	0.007800209	0.396087379	0	0.063852877	0.381847461	1.170167464	0.163214847	0.957248957	0.956387306	0.96813297	1.583487864	0.14103867	1.603986088	1.619858608	1.180280526	0.056868969	1.89481599	1.373063609	1.329210106	0.043672103	0.556263772	0.006666458	1.581175011	1.981253194	1.383992973	0.01650742	0.127206904	0	0.013378266	0.192601683	1.135474672	0	0	0.193916834	1.139601527	0.007528109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.105588986	0	0	0.004036155	0.010611913	1.436100186	0.202125194	1.56389664	6.263386769	0	0.003446604	0	0	0	1.333291611	0.012425915	0	0	0.00843511	0	0.004761756	0.006122257	1.265357229	0.14861213	0.006212958	0.02471578	0.113193737
N1_10_20	1.763237704	5.187866422	4.878906545	3.052235358	0.581502761	4.7347258	1.500333909	1.691946612	0.830417151	2.707661748	2.542309998	0.237668784	2.674807721	2.708902423	2.651187179	0.771779353	3.081486656	0.725365385	0	0.00477978	0	0.002680176	1.85826068	2.79658474	0.488173783	0.190761727	0.333574549	2.946865471	2.435126816	0.629761836	2.175269038	0.474248002	0.472052962	0.477810966	0.861807818	2.425225276	1.586982329	0.756406118	0.644514733	0.63238634	1.468275186	1.477158737	0.673384285	0.006298811	0.279811968	0.014060983	1.440352046	0.377395825	0.73329457	0.394025641	3.435731168	0	0.00935278	3.089535137	0.606936598	0	0	3.059782798	0.604145079	0.00368226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537999607	0.001845106	0.000636244	0.001797388	0.003650447	0.710851078	2.89621253	0.791677871	1.92758737	0	0.515977627	0	0	0.001264534	0.737207468	0.03380044	0.551790187	0.108121641	0.003451621	0	0.003928804	0.023946617	1.114205641	3.167268195	1.076134416	0.463447767	3.138358878
N3_10_20	5.268086932	0.001122553	10.55026915	0.037696054	0.370053219	0.000896232	0.001864886	4.936888531	0.879963868	5.012651806	2.526866812	0	0.001846781	2.692497698	2.723413169	0.740694873	3.173692717	0.760421026	0	0.001729094	0	0.002344687	5.966767543	2.846160719	0.05390065	0.158922726	0.833079175	2.969822607	2.516202559	0.599941211	2.201335494	0.358854847	0.359253173	0.361679336	0.615756534	2.490139413	0.003150391	0.512363971	0.530913254	0.047961982	0.004689375	0	0.586533945	0.001548037	0.243566843	0.431359098	2.855792948	0.012891254	0.584678111	0.888953345	3.490958786	0.003992305	0.008165668	3.159126686	0.6145344	0.00143035	0.00534118	3.129922203	0.612461298	0.00534118	0.00143035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401466597	0.000561277	0.001294557	0.00092339	0	0.580034001	2.931166951	0.669702448	5.846591001	0	0.010528461	0.002018785	0	0	0.675776909	0.263247732	0.002145525	0	0	0	0.00292407	0.026180833	0.000606541	3.222062077	1.371442921	1.047532063	3.191870833
S1_10_20	2.945846568	6.957728054	7.99826356	4.82452644	0.66015039	8.296265197	2.034904377	2.821538157	0.900126346	5.02924018	1.362993354	0.008217681	4.318140171	1.412378169	1.371270083	0.848635442	1.595125607	0.794703838	0	0.009123102	0	0.003562635	2.995497105	1.455454562	0.417025145	0.212311404	0.223078042	1.55812144	1.25926359	0.680817611	1.144265269	0.534641313	0.530183098	0.537820128	0.92928681	1.249500788	2.421273144	0.894044278	0.727968398	0.561872836	1.999228817	2.002702879	0.731019274	0.011494911	0.313393796	0.010520599	0.864362213	0.450191113	0.807310842	0.197686885	1.782419832	0	0.007026855	1.595194497	0.659677997	0	0	1.580766809	0.6563614	0.003149291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606543557	0.001801001	0.000944787	0.002834362	0.009605337	0.793591744	1.521638875	0.88128965	2.849497954	0	0.449246326	0	0	0.001436864	0.814534528	0.032418012	0.480837648	0.180503568	0.00295246	0	0.000944787	0.022596161	1.51865689	1.657087902	0.096200991	0.255171283	1.621992993
S2_10_20	11.88546336	0	23.80491539	0	0.416166674	0	0	0.015826787	0.668422316	11.92983025	1.163528336	0	0	1.043465288	0.870538176	0.657395456	1.150879879	0.617114984	0	0	0	0	11.88254448	0.835641407	0	0.218980469	0	1.141344888	1.876382412	0.514565185	0.790690735	0.409939741	0.431993462	0.429009723	0.755729102	0.811901225	0.007199891	0.706497415	0.599601736	0.029513067	0	0	0.681265365	0	0.261985224	0	0.806387795	0.223910125	0.665568305	0.019134846	1.069864889	0	0.004410744	1.193754905	0.467474006	0.014334918	0	1.209451965	0.468187509	0.004410744	0.014334918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57728856	0	0	0.005124247	0	0.648833423	1.194533272	0.746518431	11.4532753	0	0.005902613	0	0	0	0.62924453	0.024259092	0	0	0	0	0	0	0	1.039638319	0.005578294	0.003956697	0.896289137
N3_20_30	3.876659687	9.632231647	12.23657619	0.018296546	0.271277176	11.80075655	1.104815668	0.015125534	0.290604787	7.490903524	1.995918732	0.384227463	4.867571819	2.020479486	1.840811491	0.2838445	2.148652578	0.27450655	0	0.004231259	0	0.001653595	3.953785318	2.012299053	0.001069973	0.08617177	0	2.212802349	1.697473958	0.220025448	1.61748858	0.196019135	0.191525246	0.194151545	0.323258431	1.667757877	1.232891489	0.346710303	0.249401082	0.017761559	1.065800546	1.074107431	0.252572095	0.012110154	0.112726566	0.000564168	0.304854888	0.494648722	0.273105858	0.005855673	2.432253902	0	0.005573589	2.148934661	0.221144056	0	0	2.130725659	0.215259203	0.00320992	0	0	0	0	0	0.000632257	0	0	0	0.000632257	0	0	0	0	0	0.228264243	0.001215879	0	0	0.003647637	0.288046578	2.128916431	0.303580647	3.851009505	0	0	0	0	0	0.276354686	0.005116418	0	0.035620389	0.004396618	0	0.00114779	0.003871358	0.819035489	2.294470504	0	0.003219647	2.217636684
