Gene_id	VIRSorter_S11020JGIsa_scaffold_14-cat_2	VIRSorter_S24050OSUsa_scaffold_532-cat_2	VIRSorter_N3010JGIsa_scaffold_10-cat_2	VIRSorter_S15060OSUsa_scaffold_267-cat_2	VirSorter_S123010JGIca_scaffold_192-cat2	VIRSorter_N33040OSUsa_scaffold_895-cat_1	VIRSorter_S25060JGIsa_scaffold_0-cat_2	VIRSorter_S24050OSUsa_scaffold_9222-cat_2	VIRSorter_S15060OSUsa_scaffold_351-cat_2	VIRSorter_N35060OSUsa_scaffold_1-circular-cat_2	VIRSorter_N34050OSUsa_scaffold_9-cat_2	VIRSorter_S24050OSUsa_scaffold_63-circular-cat_2	VIRSorter_S23040OSUsa_scaffold_50-circular-cat_2	VIRSorter_N34050OSUsa_scaffold_2-circular-cat_2	VIRSorter_S1232030JGIca_scaffold_187-cat_2	VIRSorter_S24050OSUsa_scaffold_158-cat_2	VirSorter_N3010OSUsa_scaffold_0-circular	VIRSorter_N35060OSUsa_scaffold_9-cat_2	VIRSorter_S15060OSUsa_scaffold_2-cat_2	VIRSorter_N35060OSUsa_scaffold_0_gene_5_gene_108-3467-52033-cat_5	VIRSorter_S23040OSUsa_scaffold_370-cat_2	VIRSorter_S21020OSUsa_scaffold_16-circular-cat_2	VIRSorter_S24050OSUsa_scaffold_1029-cat_2	VIRSorter_S24050OSUsa_scaffold_87-circular-cat_2	VirSorter_N13010JGIca_scaffold_151-cat1	VIRSorter_S24050OSUsa_scaffold_603-cat_2	VIRSorter_S12030JGIsa_scaffold_294-cat_2	VIRSorter_N33040OSUsa_scaffold_318-cat_2	VIRSorter_N33040OSUsa_scaffold_102-cat_2	VIRSorter_N35060OSUsa_scaffold_2-cat_2	VIRSorter_N33040OSUsa_scaffold_595-cat_2	VIRSorter_S24050OSUsa_scaffold_130-cat_2	VIRSorter_S15060OSUsa_scaffold_0-circular-cat_2	VIRSorter_N34050OSUsa_scaffold_3-cat_2	VIRSorter_S1235060JGIca_scaffold_84-cat_2	VIRSorter_S23040OSUsa_scaffold_16-circular-cat_2	VIRSorter_S23040OSUsa_scaffold_235-cat_2	VIRSorter_N33040OSUsa_scaffold_2844-cat_2	VIRSorter_S15060OSUsa_scaffold_135-cat_2	VIRSorter_S21020OSUsa_scaffold_115-cat_2	VIRSorter_N34050OSUsa_scaffold_215-cat_2	VIRSorter_N33040OSUsa_scaffold_139-cat_2	VIRSorter_S24050OSUsa_scaffold_934-cat_2	VIRSorter_S25060OSUsa_scaffold_305_gene_8_gene_35-3882-27517-cat_5	VIRSorter_S21020OSUsa_scaffold_1501-cat_2	VirSorter_S25060OSUsa_scaffold_4218-cat2	VIRSorter_S24050OSUsa_scaffold_810-cat_2	VIRSorter_S15060OSUsa_scaffold_591-cat_2	VIRSorter_S24050OSUsa_scaffold_831-cat_2	VIRSorter_S15060OSUsa_scaffold_1004-cat_2	VIRSorter_N34050OSUsa_scaffold_186-cat_2	VirSorter_S25060OSUsa_scaffold_1635-cat2	VIRSorter_S23040OSUsa_scaffold_446-cat_2	VIRSorter_S15060OSUsa_scaffold_413-cat_2	VIRSorter_S25060OSUsa_scaffold_1340-cat_2	VirSorter_S24050OSUsa_scaffold_1648-cat2	VirSorter_S25060OSUsa_scaffold_6641-cat1	VIRSorter_S15060OSUsa_scaffold_471-circular-cat_2	VirSorter_S25060OSUsa_scaffold_2692-cat2
N1_0_10	18.02059497	0	0	0	0	3.103546911	8.409610984	0	6.407322654	0	22.94050343	0	0	0	4.290617849	0	0	0	9.625286041	0	3.961670481	0	8.137871854	0	4.118993135	0	2.288329519	0	0	0	0	0	0	0	0	0	3.632723112	0	0	0	0	0	2.359839817	0	0	0	2.703089245	0	0	0	0	0	0	0	0	0	0	0	0
N3_0_10	4.351767906	14.74388033	12.5793291	0	3.36582049	0	0	0	0	0	0	16.56844968	0	0	0	0	39.55122393	0	0	0	0	8.839528558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_0_10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S2_0_10	0	48.60152561	40.10170723	0	11.29676716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S3_0_10	0	0	0	0	28.11059908	0	0	0	40.39938556	0	0	0	0	0	31.49001536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N1_10_20	64.20454545	0	0	15.99025974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.80519481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3_10_20	0	33.07034845	29.05982906	0	0	18.08021039	0	19.7896121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_10_20	65.38819154	0	0	6.485355649	0	0	0	0	5.020920502	0	0	0	0	0	0	0	0	0	0	0	7.182705718	0	0	0	0	4.672245467	0	0	0	0	0	11.25058113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S2_10_20	0	16.08161854	13.69531385	0	2.369012623	0	0	0	0	0	0	38.50942417	0	0	0	0	0	0	0	0	0	20.47380252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.034929967	0	0	0	0	2.835898323	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3_20_30	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_20_30	14.55928646	0	0	0	0	2.579573277	16.29940539	0	6.435816719	0	17.6547744	0	0	0	2.544596013	0	0	0	8.01853795	0	3.270374257	0	7.852395943	0	3.165442462	0	4.87058412	0	0	0	0	0	0	0	3.611402588	0	3.060510668	2.833158447	0	0	0	0	0	3.244141308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
