MAG_id,R1_N3_0_10_combined_OSU_JGI,R1_N3_30_40_combined_OSU_JGI,R1_N3_40_50_combined_OSU_JGI,R1_N3_50_60_combined_OSU_JGI,R1_S1_50_60_combined_OSU_JGI,R1_S2_0_10_combined_OSU_JGI,R1_S2_10_20_combined_OSU_JGI,R1_S2_30_40_combined_OSU_JGI,R1_S2_40_50_combined_OSU_JGI,R1_S2_50_60_combined_OSU_JGI
N1_0_10_bin.4.79%.fa,2.181175893,1.504275977,1.568612609,1.616580141,1.782034733,0.007183526,1.938150427,2.430614343,1.877386442,2.410619449
N1_10_20_bin.3.84%.Delt.fa,3.385028447,0.668097863,0.021750039,1.357356104,1.047888151,0.002682736,2.444111744,1.788548219,0.841028283,1.234465982
N1_10_20_bin.4.77%.Bact.fa,4.428927906,2.042845109,2.0339681,1.727017093,3.467361818,0.005698044,3.746278107,3.075853309,2.630114585,4.513646343
N1_10_20_bin.6.65%.Bact.fa,2.42655561,1.023595459,1.02762072,1.104292402,1.622595824,0.01144043,1.910776891,1.32085266,1.058947131,2.290715787
N1_20_30_bin.3.62%.Bact.fa,0.879586304,0.928925189,0.855469427,0.728861202,0.972350781,0.005542844,0.890968647,1.452521733,1.368758827,1.413852379
N1_20_30_bin.4.83%.Delt.fa,4.162500028,0.787392917,0.430127844,2.220501743,0.359314104,0.003813477,3.306418397,2.877647641,1.10256387,2.307145921
N123_30_40_bin.1.87%.Delt.fa,1.12205148,0.310453648,0.036364023,0.646182052,0.229503028,0.008846379,0.591532267,0.590668407,0.247232633,0.261594232
N123_30_40_bin.2.17%.Bact.fa,1.622294926,1.283691182,1.170958146,0.779264363,1.23912308,0.054408556,1.446944431,1.533976117,1.203940304,1.652445768
N123_40_50_bin.10_90%.fa,1.387339396,1.63089582,1.683858442,1.17050921,1.900351169,0.003259192,1.441400346,2.38938291,2.350271216,2.572042321
N13_0_10_co_bin.1_58%_.fa,3.126227736,1.317169673,1.850520462,2.015459631,1.672366685,0.009378492,2.593925949,2.552594223,1.650236127,2.541633459
N1_30_40_bin.1.fa,0.594460702,2.313003656,1.979133156,2.988379919,1.416609914,0.600046116,0.688662171,0.472904761,0.578426034,0.390237541
N13_20_30_bin.13_Actino_72%.fa,0.297195095,0.155239967,0.011816382,0.196531958,0.007901297,0.063299278,0.391523954,0.266743715,0.318369227,0.087369575
N13_20_30_bin.7_Delt_87%.fa,2.215075066,0.758702699,0.028760899,1.441350788,0.936872091,0.007227869,1.570685947,1.429714505,0.552123143,1.064797779
N13_Depth10_20_bin.1.fa,0.609056914,2.440985945,2.086029517,3.132367567,1.497031796,0.601930683,0.702841403,0.483144741,0.585373876,0.402639165
N2_0_30_JGI.bin.1.arch.89%.fa,0.561489951,2.434156192,2.088653775,3.079519323,1.505611159,0.488967523,0.625211813,0.441052218,0.53155113,0.367885699
N23_Depth50_60_bin.1.86%.Bact.fa,1.238615513,1.397540834,1.363891632,1.040361905,1.558004958,0.00241668,1.281154587,2.118294961,2.04766433,2.198413137
N2_40_50_bin.6.90%.Arch.fa,0.759508369,2.868566123,2.477400207,3.648701711,1.78257069,0.799987584,0.853813981,0.529469013,0.662081349,0.435428817
N2_50_60_JGI.bin.1.bact.74%.fa,1.173285124,1.326816315,1.322336876,0.97325144,1.515209651,0.011418259,1.217208669,2.002078949,1.936721886,2.116084244
N3.0.10.OSU.bin.2.Gamma.94%.fa,1.580510038,0.473276874,1.164785122,0.523551446,1.108504008,7.063268238,1.916494423,0.41185664,0.816819926,0
N3.0.10.OSU.bin.7.BACT.75%.fa,0.918779837,0.128280187,0.27528702,0.056064502,0.260032241,1.782556448,0.964125801,0.589477622,0.728563422,0.531147966
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa,1.57543897,0.470074469,1.158530241,0.520766139,1.10367634,7.041739832,1.912083933,0.412931062,0.817891435,0.000339632
N3_0_10_OSU_JGI_contam_bin.7.bact.77.fa,0.978445673,0.141965977,0.317361813,0.074695209,0.298129809,2.03236134,1.032141512,0.602766323,0.763132937,0.526221616
N3_10_20_JGI_bin.1.bact.81%.fa,2.347398778,1.888573312,1.856033811,1.844948062,2.444196686,0.007449582,2.245267999,2.968050371,2.46630939,3.129913635
N3_30_40_JGI.bin.3.arch.87%.fa,0.622613058,2.557753245,2.192964399,3.261444298,1.576328982,0.555282109,0.692725769,0.489684365,0.58712417,0.411220766
N3_30_40_OSU_bin.14.fa,0.463130051,0.890321097,0.771863953,0.617961544,0.548202193,0.010398375,0.48882111,0.813578027,0.913110326,0.902540958
N3_30_40_OSU_bin.1.fa,0.271211017,0.304574541,0.296863714,0.229497467,0.335630516,0,0.279335198,0.461582602,0.442160087,0.474708472
N3_40_50_JGI_bin.3.fa,0.364729018,1.048763469,1.701414484,0.332776091,1.776273202,0.008779865,0.339675912,0.975241707,1.172595015,1.717033076
N3_40_50_JGI_bin.4.fa,0.674005357,2.660887326,2.280031967,3.424162453,1.636701222,0.696114688,0.769432377,0.53520185,0.651851101,0.44517391
N3_40_50_OSU_bin.3.fa,0.863973528,2.267731904,1.992471126,2.911883787,1.438705935,1.519980844,1.056708935,0.427740245,0.606692551,0.342329207
N3_40_50_OSU_bin.4.fa,1.009095367,1.148327153,1.124930114,0.850384944,1.28697749,0.001529825,1.043471269,1.72568095,1.671986315,1.789916155
N3_50_60_JGI_bin.1.arch.80%.fa,0.488879085,1.984645455,1.700176991,2.537260053,1.218476577,0.454091949,0.554749271,0.388820564,0.472758714,0.325586342
N3_50_60_JGI_contam_bin.9.bact.49.fa,0.729328761,0.801919831,0.753426739,0.625446488,0.84969391,0.046160805,0.751474495,1.214062083,1.160832653,1.214693328
N3.50.60.OSU.bin.1.bact.47%.fa,0.727260377,0.792960983,0.743035642,0.617031596,0.842198641,0.066735841,0.744734869,1.206192038,1.150776949,1.204289146
N3_50_60_OSU_plantDB.JGIDB.bin.1.47.bact.fa,0.735075579,0.801468603,0.751712545,0.622293739,0.850765823,0.061991167,0.754286802,1.220462071,1.164265362,1.220749544
S1_0_10_JGI_bin.10.bact.87%.fa,1.279166422,1.395551925,1.309167437,1.040434486,1.463798439,0.004522961,1.290737493,2.120695926,2.025579598,2.12509627
S1_0_10_JGI_bin.5.arch.83%.fa,0.509656946,2.226819102,1.915303509,2.807012912,1.374720049,0.445467284,0.568321441,0.398021031,0.479784131,0.333801409
S1_10_20_JGI_bin.4.DELT.90%.fa,1.264822882,0.335919556,0.035521372,0.685784213,0.28254647,0.003746963,0.675839537,0.684659009,0.274102794,0.308682068
S1_10_20_JGI_bin.6.bact.80%.fa,1.102384201,1.172522614,1.085296603,0.910495852,1.22721023,0.003924334,1.121175193,1.825059178,1.723603012,1.786785485
S1.20.30.JGI.bin.8.bact.70%.fa,1.013426047,1.095187386,1.045600495,0.833786513,1.186733341,0.007560439,1.065969727,1.70275348,1.63814407,1.754069812
S123_0_10_co_JGI_bin.13.bact.89%.fa,0.586669005,0.833260465,0.748462318,0.636079646,0.571065606,0.044985722,0.605915917,0.951301876,1.020881878,0.973477036
S123_0_10_co_JGI_bin.3.DELT.90%.fa,1.125782798,0.305652231,0.042368517,0.635049899,0.246954093,0.004412104,0.602905386,0.606140862,0.270238572,0.278242941
S123.20.30.JGI.bin.9.DELT.87%.fa,1.117409367,0.284992121,0.024258733,0.627828061,0.218402234,0.007604782,0.590881844,0.591192043,0.248425354,0.264674462
S123_40_50_bin.3.81%.fa,1.021117851,1.168890885,1.138667741,0.860160735,1.295118343,0,1.0538161,1.758355794,1.700645558,1.814850548
S123_50_60_co_JGI.bin.2.ACTINO.79%.fa,1.10232544,0.555961125,0.502913672,0.147634857,0.55080889,0.008824208,1.127264395,1.805250247,2.213549514,1.667386228
S123_50_60_co_JGI.bin.7.43%.fa,0.425875629,0.47038551,0.443494704,0.35419664,0.508557661,0,0.44648164,0.74380265,0.718992564,0.780626404
S123_50_60_co_JGI.bin.9.bact.83%.fa,0.447217594,1.039169397,0.907477877,0.522317564,0.625042912,0.012194257,0.584551055,1.100759035,1.399910177,1.485978851
S12_40_50_co_JGI_bin.2.bact.84%.fa,1.585833777,1.67912903,1.660355688,1.064154955,2.055352197,0.006651413,1.380570265,2.709452095,2.274315253,2.422163585
S12_40_50_co_JGI_bin.6.bact.45%.fa,1.203564625,0.491106953,0.418070705,0.387302776,0.391142606,0.355207613,1.082416148,1.289965933,1.323862094,1.021711551
S1_30_40_JGI_bin.6.bact.77%.fa,1.099516668,1.223620903,1.163061298,0.917812952,1.324425413,0.002084109,1.13250495,1.878466102,1.806099546,1.907096032
S1_50_60_JGI_bin.1.bact.60%.fa,0.408787954,1.265287211,1.992832262,0.409040869,2.115233144,0.002172795,0.419523136,1.177787731,1.429917292,2.060737626
S1_50_60_JGI_bin.2.arch.96%.fa,0.769121655,3.16389268,2.718851159,4.027054309,1.95984233,0.748150907,0.872924042,0.595136762,0.724883442,0.493055343
S1.50.60.OSU.bin.11.BETA.82%.fa,0.335424948,0.353609448,1.151013789,0.020604011,1.524755359,0.06414179,0.535670183,0.576778495,0.705029001,0.741266044
S1.50.60.OSU.bin.14.bact.61%.fa,0.571737855,1.144686663,1.377268123,0.590412412,1.198560925,0.11345093,0.838761324,0.783653238,1.211736626,1.124502451
S1.50.60.OSU.bin.3.arch.91%.fa,0.752298404,2.843292973,2.461880974,3.61661625,1.775984922,0.834441902,0.850394612,0.528945378,0.655099568,0.43732874
S1.50.60.OSU.bin.5.bact.76%.fa,1.002038181,1.154951005,1.137897317,0.845585507,1.304071251,0,1.042591649,1.719781325,1.672956007,1.806252133
S1.50.60.OSU.bin.7.GAMMA.90%.fa,1.470879793,0.456848669,1.11127916,0.501627363,1.076959726,6.606360524,1.794066143,0.394262493,0.778381341,0.01366936
S1_50_60_OSU_contam_removed.bin.15.BETA.85.fa,0.355562314,0.374760214,1.210163109,0.033600596,1.592630989,0.110413452,0.56789402,0.597456273,0.73662641,0.77084432
S1_50_60_OSU_contam_removed.bin.19.arch.91.fa,0.744641856,2.817949728,2.438797139,3.58356455,1.758152191,0.814642863,0.849360129,0.523961145,0.654231694,0.433276691
S1_50_60_OSU_contam_removed.bin.2.bact.77.fa,1.004770564,1.151823075,1.130294193,0.844746286,1.297051034,0,1.044933173,1.724261316,1.674652968,1.804543884
S1_50_60_OSU_contam_removed.bin.3.bact.59.fa,0.513975873,1.031594899,1.236641626,0.533390745,1.068088023,0.100015077,0.759360105,0.69823474,1.091514232,1.005029215
S1_50_60_OSU_contam_removed.bin.6.GAMMA.90.fa,1.463370148,0.452437148,1.100083933,0.498724112,1.066374587,6.576916937,1.784247846,0.388653777,0.770100173,0.00890442
S2.0.10.OSU.bin.13.GAMMA.92%.fa,1.426791476,0.516029635,0.824199834,0.410492495,0.824118233,5.960197946,1.737881945,0.014285547,0.513209409,0
S2.0.10.OSU.bin.18.bact.81%.fa,0.911992951,0.108334155,0.26256539,0.030733635,0.242767948,1.801801203,0.962763009,0.61155176,0.756747516,0.555860421
S2.0.10.OSU.bin.19.bact.90%.fa,0.336676555,0,0.013867636,0,0.086565079,1.352520442,0.452131032,0.206401531,0.239998732,0.002596002
S2.0.10.OSU.bin.21.bact.93%.fa,0.734587863,0.000749126,0.002913167,0.000812003,0.002756927,4.898698984,0.426052148,0.019331841,0.006836328,0.002387514
S2.0.10.OSU.bin.33.ACTINO.92%.fa,0.4598982,0.000543226,0.000948585,0.001247491,0.000190833,2.639967896,0.118804492,0.015456939,0.009435102,0.000275741
S2.0.10.OSU.bin.36.GAMMA.81%.fa,0.408617547,0.00676842,0.010405542,0.004899236,0.011827583,2.938882385,0.036039655,0.002994418,0.010933276,0.001361892
S2.0.10.OSU.bin.37.ALPHA.89%.fa,0.527326354,0.000543226,0.001858648,0.000458169,0.004104939,1.989592756,0.710058006,0.103342341,0.254548958,0
S2_0_10_OSU_JGI_cont_bin.15.bact.64.fa,0.015883076,0.001818055,0.005624097,0.001814532,0.005546337,0.80572997,0.011633288,0.006698653,0.006976933,0.004038598
S2_0_10_OSU_JGI_cont_bin.20.Actino.92.fa,0.458881636,0.000543226,0.000948585,0.001247491,0.000190833,2.634691108,0.12924224,0.015456939,0.00943995,0.000275741
S2_0_10_OSU_JGI_cont_bin.2.Gamma.92.fa,1.420874252,0.51282723,0.817800498,0.407897714,0.818823633,5.95026517,1.729451218,0.014782031,0.511294268,0
S2_0_10_OSU_JGI_cont_bin.37.Alpha.89.fa,0.526979664,0.000543226,0.001516773,0.000458169,0.004165843,1.989082815,0.710281008,0.102849736,0.253763507,0
S2_0_10_OSU_JGI_cont_bin.44.bact.93.fa,0.735933488,0.000705318,0.002831309,0.000739422,0.002667601,4.91459586,0.426349485,0.018579357,0.006215725,0.002310172
S2_0_10_OSU_JGI_cont_bin.6.bact.81.fa,0.907961952,0.108522532,0.262252406,0.032085462,0.243259242,1.788697919,0.956326914,0.610198066,0.753149959,0.554310218
S2_0_10_OSU_JGI_cont_bin.8.bact.90.fa,0.336036061,0,0.014821036,0,0.085956038,1.350791075,0.451362913,0.205835229,0.239305402,0.002589276
S2_10_20_OSU_bin.14.fa,0.817893217,0.855835009,0.80244498,0.657917538,0.91403304,0.046426861,0.841486908,1.351076115,1.288798037,1.33734095
S2_10_20_OSU_bin.16,1.473406513,0.533671337,0.8526959,0.426855037,0.851293659,6.085820962,1.840047985,0.029820062,0.554445555,0.02025352
S2_10_20_OSU_bin.17.fa,0.583372517,0.00799506,0.00729977,0.006799959,0.007747006,1.227451711,1.001076048,0.463110841,0.39032521,0.004280712
S2_10_20_OSU_bin.2_v2.fa,0.687849429,0.097193642,0.214741307,0.028724041,0.195932667,1.240554994,0.747132144,0.479196143,0.589931428,0.432217442
S2_10_20_OSU_bin.4.fa,0.621149911,0.01358065,0.019106521,0.010928019,0.0250316,0.512535696,1.175432899,0.398986847,0.526731762,0.04166717
S2_30_40_JGI.bin.3.bact.75%.fa,1.073514962,1.170056192,1.112670739,0.886439694,1.267350117,0.007560439,1.117495654,1.837382062,1.745309564,1.838668526
S23_30_40_co_JGI_bin.3.arch.93%.fa,0.688319516,2.652717032,2.275072361,3.384764427,1.636567233,0.672590858,0.78555049,0.532517734,0.644408716,0.440227384
S23_30_40_co_JGI_bin.5.bact.79%.fa,1.208817851,1.32909436,1.271710374,1.005359583,1.450492915,0.0058089,1.255131454,2.058317383,1.973002906,2.090322628
S2_40_50_JGI.bin.6.bact.82%.fa,2.32233137,1.926739318,1.96844352,1.778273085,2.651205786,0.010043633,2.106882663,3.321539126,2.631350942,2.865978966
S2_40_50_OSU_bin.10,1.441728502,0.439263918,1.074736976,0.483894849,1.023534617,6.488453147,1.753405385,0.379759734,0.757435997,0
