MAG_id	N1_0_10_bin.4.79.fa	N1_10_20_bin.3.84.Delt.fa	N1_10_20_bin.4.77.Bact.fa	N1_10_20_bin.6.65.Bact.fa	N1_20_30_bin.3.62.Bact.fa	N1_30_40_bin.1.fa	N123_30_40_bin.1.87.Delt.fa	N13_0_10_co_bin.1_58_.fa	N13_20_30_bin.13_Actino_72.fa	N13_20_30_bin.7_Delt_87.fa	N13_Depth10_20_bin.1.fa	N23_Depth50_60_bin.1.86.Bact.fa	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa	N3_10_20_JGI_bin.1.bact.81.fa	N3_40_50_JGI_bin.3.fa	N3_50_60_JGI_contam_bin.9.bact.49.fa	N3.0.10.OSU.bin.7.BACT.75.fa	S1_0_10_JGI_bin.10.bact.87.fa	S1_10_20_JGI_bin.4.DELT.90.fa	S1_10_20_JGI_bin.6.bact.80.fa	S1_30_40_JGI_bin.6.bact.77.fa	S1_50_60_JGI_bin.1.bact.60.fa	S1_50_60_OSU_contam_removed.bin.15.BETA.85.fa	S1.20.30.JGI.bin.8.bact.70.fa	S1.50.60.OSU.bin.14.bact.61.fa	S12_40_50_co_JGI_bin.6.bact.45.fa	S123_0_10_co_JGI_bin.3.DELT.90.fa	S123_40_50_bin.3.81.fa	S123.20.30.JGI.bin.9.DELT.87.fa	S2_0_10_OSU_JGI_cont_bin.15.bact.64.fa	S2_0_10_OSU_JGI_cont_bin.44.bact.93.fa	S2_10_20_OSU_bin.14.fa	S2_10_20_OSU_bin.16.fa	S2_10_20_OSU_bin.17.fa	S2_10_20_OSU_bin.2.fa	S2_10_20_OSU_bin.4.fa	S2_40_50_OSU_bin.17.fa	S2_40_50_OSU_bin.8.fa	S2_50_60_JGI.bin.2.bact.80.fa	S2_50_60_JGI.bin.5.bact.55.fa	S2_50_60_OSU_bin.17.fa	S2_50_60_OSU_bin.20.fa	S2_50_60_OSU_bin.22.fa	S2_50_60_OSU_bin.28.fa	S2_50_60_OSU_bin.32.fa	S2.0.10.OSU.bin.18.bact.81.fa	S2.0.10.OSU.bin.19.bact.90.fa	S2.0.10.OSU.bin.33.ACTINO.92.fa	S2.0.10.OSU.bin.36.GAMMA.81.fa	S2.0.10.OSU.bin.37.ALPHA.89.fa	S23_30_40_co_JGI_bin.5.bact.79.fa	S3_10_20_JGI.bin.2.DELT.77.fa	S3_30_40_JGI_bin.1.arch.99.fa	S3_30_40_JGI_bin.2.bact.61.fa	S3_40_50_JGI_bin.2.bact.76.fa
N1_10_20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1
N1_20_30	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1
N1_30_40	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1
N1_40_50	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1
N2_0_30	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N2_30_40	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1
N2_40_50	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1
N2_50_60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1
N3_0_10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3_10_20	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0
N3_20_30	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
N3_40_50	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1
N3_50_60	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1
S2_0_10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
S1_10_20	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
S1_20_30	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1
S1_30_40	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1
S1_40_50	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1
S1_50_60	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1
S2_20_30	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
S2_30_40	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1
S2_40_50	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1
