	VIRSorter_N13_0_10_JGI_ca_scaffold_151-cat_1	VIRSorter_N3_0_10_OSU_sa_scaffold_0-circular-cat_2	VIRSorter_N3_0_10_OSU_sa_scaffold_103-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_102-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_139-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_14-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_201-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_22-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_25-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_318-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_47-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_4-cat_2	VIRSorter_N3_30_40_OSU_sa_scaffold_895-cat_1	VIRSorter_N3_40_50_OSU_sa_scaffold_186-cat_2	VIRSorter_N3_40_50_OSU_sa_scaffold_215-cat_2	VIRSorter_N3_40_50_OSU_sa_scaffold_2-circular-cat_2	VIRSorter_N3_40_50_OSU_sa_scaffold_34-cat_2	VIRSorter_N3_40_50_OSU_sa_scaffold_3-cat_2	VIRSorter_N3_40_50_OSU_sa_scaffold_423-cat_2	VIRSorter_N3_40_50_OSU_sa_scaffold_9-cat_2	VIRSorter_N3_50_60_OSU_sa_scaffold_0_gene_5_gene_108-3467-52033-cat_5	VIRSorter_N3_50_60_OSU_sa_scaffold_1-circular-cat_2	VIRSorter_S1_10_20_JGI_sa_scaffold_14-cat_2	VIRSorter_S1_50_60_OSU_sa_scaffold_0-circular-cat_2	VIRSorter_S1_50_60_OSU_sa_scaffold_1004-cat_2	VIRSorter_S1_50_60_OSU_sa_scaffold_267-cat_2	VIRSorter_S1_50_60_OSU_sa_scaffold_2-cat_2	VIRSorter_S1_50_60_OSU_sa_scaffold_359-cat_2	VIRSorter_S123_20_30_JGI_ca_scaffold_187-cat_2	VIRSorter_S123_50_60_JGI_ca_scaffold_84-cat_2	VIRSorter_S2_0_10_OSU_sa_scaffold_1123-cat_2	VIRSorter_S2_0_10_OSU_sa_scaffold_145-cat_2	VIRSorter_S2_0_10_OSU_sa_scaffold_154-cat_2	VIRSorter_S2_0_10_OSU_sa_scaffold_1624-cat_2	VIRSorter_S2_0_10_OSU_sa_scaffold_1951-cat_1	VIRSorter_S2_0_10_OSU_sa_scaffold_281-cat_2	VIRSorter_S2_0_10_OSU_sa_scaffold_643-cat_2	VIRSorter_S2_0_10_OSU_sa_scaffold_66-circular-cat_2	VIRSorter_S2_0_10_OSU_sa_scaffold_678-cat_2	VIRSorter_S2_0_10_OSU_sa_scaffold_71-cat_2	VIRSorter_S2_10_20_OSU_sa_scaffold_115-cat_2	VIRSorter_S2_10_20_OSU_sa_scaffold_1501-cat_2	VIRSorter_S2_10_20_OSU_sa_scaffold_16-circular-cat_2	VIRSorter_S2_10_20_OSU_sa_scaffold_181-cat_2	VIRSorter_S2_10_20_OSU_sa_scaffold_29-cat_2	VIRSorter_S2_30_40_OSU_sa_scaffold_16-circular-cat_2	VIRSorter_S2_30_40_OSU_sa_scaffold_235-cat_2	VIRSorter_S2_30_40_OSU_sa_scaffold_370-cat_2	VIRSorter_S2_30_40_OSU_sa_scaffold_50-circular-cat_2	VIRSorter_S2_40_50_OSU_sa_scaffold_130-cat_2	VIRSorter_S2_40_50_OSU_sa_scaffold_158-cat_2	VIRSorter_S2_40_50_OSU_sa_scaffold_166-cat_2	VIRSorter_S2_40_50_OSU_sa_scaffold_191-cat_2	VIRSorter_S2_40_50_OSU_sa_scaffold_532-cat_2	VIRSorter_S2_40_50_OSU_sa_scaffold_63-circular-cat_2	VIRSorter_S2_40_50_OSU_sa_scaffold_810-cat_2	VIRSorter_S2_40_50_OSU_sa_scaffold_87-circular-cat_2	VIRSorter_S2_40_50_OSU_sa_scaffold_934-cat_2	VIRSorter_S2_50_60_JGI_sa_scaffold_0-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_1075-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_1143-cat_1	VIRSorter_S2_50_60_OSU_sa_scaffold_1251-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_1340-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_143-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_1560-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_1635-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_2692-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_305_gene_8_gene_35-3882-27517-cat_5	VIRSorter_S2_50_60_OSU_sa_scaffold_3370-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_356-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_583-cat_2	VIRSorter_S2_50_60_OSU_sa_scaffold_6641-cat_1	VIRSorter_S2_50_60_OSU_sa_scaffold_681-cat_2
N1_10_20	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
N1_20_30	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
N1_30_40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
N1_40_50	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
N2_0_30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
N2_30_40	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
N2_40_50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N2_50_60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
N3_0_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N3_10_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3_20_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3_40_50	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
N3_50_60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S2_0_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_10_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_20_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
